이름,카테고리,도로명주소,지번주소,전화번호,장소ID,X(경도),Y(위도),메모,등록일
"wowdelicious","","","","","","","","",""
"전체","","","","","","","","",""
"음식점","","","","","","","","",""
"BAR","","","","","","","","",""
"카페","","","","","","","","",""
"오구당당 부평본점쌈밥","","","인천광역시 부평구 부평동 546-98","","","","","",""
"오구당당 부평본점쌈밥","","","인천광역시 부평구 부평동 546-98","","","","","",""
"황해해물칼국수1호점칼국수,만두","","","인천광역시 중구 덕교동 128-15","","","","","",""
"시굴집백숙,삼계탕","","","인천광역시 서구 검암동 253-1 시굴집","","","","","",""
"다복집요리주점","","","인천광역시 중구 신포동 12-28","","","","","",""
"용화반점중식당","","","인천광역시 중구 경동 4-10","","","","","",""
"송도막창구이연수본점곱창,막창,양","","","인천광역시 연수구 연수동 613-7 송도막창구이","","","","","",""
"유천가든오리요리","","","인천광역시 서구 시천동 144-2 유천가든","","","","","",""
"송돗골본점육류,고기요리","","","인천광역시 연수구 동춘동 804-3","","","","","",""
"동해막국수막국수","","","인천광역시 계양구 갈현동 114-2","","","","","",""
"담쟁이넝쿨한식","","","인천광역시 중구 송학동1가 9 담쟁이넝쿨","","","","","",""
"강릉해변메밀막국수 인천검단점막국수","","","인천광역시 서구 당하동 1114-6","","","","","",""
"검암뒷고기숯불꼼장어육류,고기요리","","","인천광역시 서구 검암동 597-1 다복빌딩","","","","","",""
"촌장골 당하점육류,고기요리","","","인천광역시 서구 당하동 1092-21 촌장골","","","","","",""
"기와집담한식","","","인천광역시 중구 덕교동 194-1","","","","","",""
"연락골고추장추어탕 3호점추어탕","","","인천광역시 서구 경서동 1033-2","","","","","",""
"넘버원 국민닭발닭발","","","인천광역시 서구 당하동 1095-2","","","","","",""
"오서방연탄석쇠구이육류,고기요리","","","인천광역시 연수구 연수동 620-11","","","","","",""
"한울능이버섯백숙백숙,삼계탕","","","인천광역시 서구 청라동 123-3 1층 한울능이버섯백숙","","","","","",""
"리골레토시카고피자 인천인하대점","","","인천광역시 미추홀구 용현동 191-2 1층","","","","","",""
"나들목 보쌈한정식한정식","","","인천광역시 중구 을왕동 812","","","","","",""
"박승광최강해물칼국수 동춘점칼국수,만두","","","인천광역시 연수구 동춘동 1115-11","","","","","",""
"슬기네생선회","","","인천광역시 중구 운서동 2855","","","","","",""
"우리밀칼국수칼국수,만두","","","인천광역시 중구 덕교동 163-3","","","","","",""
"중국요리손짜장마루중식당","","","인천광역시 계양구 둑실동 7-19","","","","","",""
"용유어보한식","","","인천광역시 중구 덕교동 101-5 용유어보","","","","","",""
"평양면옥냉면","","","경기도 의정부시 의정부동 385","","","","","",""
"명성각","","","경기도 고양시 일산동구 마두동 907-6","","","","","",""
"복두부집두부요리","","","경기도 파주시 탄현면 갈현리 654-12","","","","","",""
"청목한정식","","","경기도 이천시 사음동 626-11","","","","","",""
"구능촌오리요리","","","경기도 여주시 세종대왕면 번도리 910","","","","","",""
"천서리 본점 강계봉진막국수막국수","","","경기도 여주시 대신면 천서리 419-2","","","","","",""
"제일식당순대,순댓국","","","경기도 용인시 처인구 백암면 백암리 449-2","","","","","",""
"민바리고추장매운탕매운탕,해물탕","","","경기도 파주시 문발동 223-5","","","","","",""
"반구정나루터집해물,생선요리","","","경기도 파주시 문산읍 사목리 208-2","","","","","",""
"도가네오리요리","","","경기도 파주시 조리읍 등원리 291-1","","","","","",""
"파주옥 평택본점곰탕,설렁탕","","","경기도 평택시 평택동 46-13","","","","","",""
"한채당한정식","","","경기도 하남시 미사동 297","","","","","",""
"청기와한정식한정식","","","경기도 여주시 교동 83-1","","","","","",""
"큰손집순대,순댓국","","","경기도 파주시 금촌동 768-13","","","","","",""
"현정이네해물예식장매운탕,해물탕","","","경기도 하남시 신장동 451-19","","","","","",""
"강변손두부두부요리","","","경기도 하남시 미사동 538-8","","","","","",""
"대송버섯집찌개,전골","","","경기도 이천시 백사면 모전리 9-6","","","","","",""
"학마루닭요리","","","경기도 용인시 처인구 역북동 551-9","","","","","",""
"다릿목한식","","","경기도 용인시 기흥구 언남동 147-4 1층 단독(예명교회옆 빨간건물)","","","","","",""
"팔선생중식당","","","경기도 용인시 기흥구 보정동 1204-3","","","","","",""
"온정손만두 본점만두","","","경기도 이천시 안흥동 305-2 온정빌딩 1층","","","","","",""
"행하령수제비칼국수,만두","","","경기도 성남시 분당구 구미동 35-9 1층 행하령수제비","","","","","",""
"내사랑동까스돈가스","","","경기도 파주시 야당동 469-5 1충","","","","","",""
"고삼묵밥한식","","","경기도 안성시 고삼면 가유리 194","","","","","",""
"다람쥐마을누룽지백숙백숙,삼계탕","","","경기도 고양시 일산동구 풍동 665-3 다람쥐마을누룽지백숙","","","","","",""
"능이밥상 오산직영점백숙,삼계탕","","","경기도 오산시 오산동 793-25 1층","","","","","",""
"물빛하늘정원 본점백숙,삼계탕","","","경기도 파주시 탄현면 대동리 93-1","","","","","",""
"언칼국수 금촌본점칼국수,만두","","","경기도 파주시 금촌동 65-7","","","","","",""
"심학산도토리국수한식","","","경기도 파주시 동패동 1096-4","","","","","",""
"원조곱창한식","","","경기도 안양시 동안구 관양동 1496","","","","","",""
"희망의숲가든한식","","","경기도 이천시 부발읍 마암리 109-1 희망의숲가든","","","","","",""
"팔당냉면 용인시청점냉면","","","경기도 용인시 처인구 삼가동 254-4","","","","","",""
"인덕원원시쪽갈비 본관육류,고기요리","","","경기도 안양시 동안구 관양동 1490-4 인덕원원시쪽갈비","","","","","",""
"신간짬뽕 본점중식당","","","경기도 파주시 금촌동 776-16 1층 신간짬뽕 금촌점","","","","","",""
"산골미꾸라지매운탕추어탕","","","경기도 안산시 단원구 선부동 149","","","","","",""